text,text_clean,sentiment,target
so happy with this #3880,happy,positive,2
terrible quality #8222,terrible quality,negative,0
noted for the record #7534,note record,neutral,1
loving this so much #7414,love much,positive,2
fantastic support team #5059,fantastic support team,positive,2
standard procedure #4553,standard procedure,neutral,1
terrible quality #605,terrible quality,negative,0
highly recommend #9590,highly recommend,positive,2
ok thanks #2062,ok thanks,neutral,1
as expected #3551,expect,neutral,1
standard procedure #6838,standard procedure,neutral,1
waste of time #4582,waste time,negative,0
standard procedure #9086,standard procedure,neutral,1
fantastic support team #1274,fantastic support team,positive,2
will follow up later #2027,follow later,neutral,1
noted for the record #4290,note record,neutral,1
loving this so much #8157,love much,positive,2
would not recommend #8262,would recommend,negative,0
see you tomorrow #3688,see tomorrow,neutral,1
worst experience ever #1729,bad experience ever,negative,0
best day ever #6858,best day ever,positive,2
link attached for reference #2865,link attach reference,neutral,1
excellent quality #9242,excellent quality,positive,2
link attached for reference #9908,link attach reference,neutral,1
hate this update #8674,hate update,negative,0
the meeting is at 3pm #5796,meeting 3pm,neutral,1
this is awful #904,awful,negative,0
hate this update #1016,hate update,negative,0
noted for the record #4892,note record,neutral,1
so happy with this #1737,happy,positive,2
as expected #1458,expect,neutral,1
see you tomorrow #8955,see tomorrow,neutral,1
link attached for reference #6927,link attach reference,neutral,1
ok thanks #1465,ok thanks,neutral,1
highly recommend #3216,highly recommend,positive,2
see you tomorrow #8239,see tomorrow,neutral,1
loving this so much #2342,love much,positive,2
loving this so much #5203,love much,positive,2
loving this so much #8129,love much,positive,2
so frustrated right now #7496,frustrate right,negative,0
this is awful #9756,awful,negative,0
worst experience ever #3123,bad experience ever,negative,0
the meeting is at 3pm #8757,meeting 3pm,neutral,1
link attached for reference #7983,link attach reference,neutral,1
noted for the record #751,note record,neutral,1
the meeting is at 3pm #9300,meeting 3pm,neutral,1
highly recommend #5638,highly recommend,positive,2
so happy with this #3180,happy,positive,2
this made my day #6355,make day,positive,2
hate this update #8362,hate update,negative,0
waste of time #6625,waste time,negative,0
best day ever #262,best day ever,positive,2
loving this so much #5933,love much,positive,2
so frustrated right now #4135,frustrate right,negative,0
great experience #2616,great experience,positive,2
highly recommend #1288,highly recommend,positive,2
best day ever #1390,best day ever,positive,2
as expected #8361,expect,neutral,1
highly recommend #2903,highly recommend,positive,2
this is awful #7206,awful,negative,0
great experience #2252,great experience,positive,2
best day ever #4383,best day ever,positive,2
highly recommend #717,highly recommend,positive,2
would not recommend #4861,would recommend,negative,0
loving this so much #5072,love much,positive,2
this is awful #528,awful,negative,0
great experience #8644,great experience,positive,2
waste of time #1923,waste time,negative,0
so frustrated right now #2722,frustrate right,negative,0
loving this so much #9056,love much,positive,2
excellent quality #9051,excellent quality,positive,2
terrible quality #2119,terrible quality,negative,0
would not recommend #2781,would recommend,negative,0
this is awful #4279,awful,negative,0
great experience #5535,great experience,positive,2
will follow up later #9711,follow later,neutral,1
excellent quality #4319,excellent quality,positive,2
this made my day #129,make day,positive,2
totally disappointed with this #9792,totally disappointed,negative,0
highly recommend #9329,highly recommend,positive,2
will follow up later #8144,follow later,neutral,1
ok thanks #935,ok thanks,neutral,1
great experience #3148,great experience,positive,2
so frustrated right now #4710,frustrate right,negative,0
standard procedure #8297,standard procedure,neutral,1
so happy with this #9667,happy,positive,2
terrible quality #583,terrible quality,negative,0
terrible quality #3850,terrible quality,negative,0
fantastic support team #3179,fantastic support team,positive,2
ok thanks #7493,ok thanks,neutral,1
so frustrated right now #6167,frustrate right,negative,0
highly recommend #3440,highly recommend,positive,2
noted for the record #3991,note record,neutral,1
so happy with this #8468,happy,positive,2
worst experience ever #8519,bad experience ever,negative,0
totally disappointed with this #7054,totally disappointed,negative,0
terrible quality #1879,terrible quality,negative,0
so frustrated right now #7278,frustrate right,negative,0
standard procedure #4262,standard procedure,neutral,1
will follow up later #5786,follow later,neutral,1
fantastic support team #6843,fantastic support team,positive,2
see you tomorrow #8897,see tomorrow,neutral,1
link attached for reference #9867,link attach reference,neutral,1
great experience #70,great experience,positive,2
this is awful #1368,awful,negative,0
this is awful #8745,awful,negative,0
noted for the record #9997,note record,neutral,1
as expected #8150,expect,neutral,1
fantastic support team #5064,fantastic support team,positive,2
highly recommend #9375,highly recommend,positive,2
excellent quality #5791,excellent quality,positive,2
link attached for reference #2001,link attach reference,neutral,1
terrible quality #1073,terrible quality,negative,0
this made my day #8095,make day,positive,2
great experience #1615,great experience,positive,2
link attached for reference #4382,link attach reference,neutral,1
great experience #975,great experience,positive,2
totally disappointed with this #451,totally disappointed,negative,0
would not recommend #1628,would recommend,negative,0
loving this so much #2488,love much,positive,2
excellent quality #7054,excellent quality,positive,2
best day ever #9023,best day ever,positive,2
the meeting is at 3pm #8766,meeting 3pm,neutral,1
terrible quality #178,terrible quality,negative,0
best day ever #7513,best day ever,positive,2
loving this so much #8487,love much,positive,2
highly recommend #7456,highly recommend,positive,2
excellent quality #3904,excellent quality,positive,2
hate this update #9125,hate update,negative,0
hate this update #361,hate update,negative,0
excellent quality #389,excellent quality,positive,2
ok thanks #4860,ok thanks,neutral,1
totally disappointed with this #3183,totally disappointed,negative,0
ok thanks #1410,ok thanks,neutral,1
excellent quality #3779,excellent quality,positive,2
best day ever #2930,best day ever,positive,2
this is awful #4379,awful,negative,0
so frustrated right now #5348,frustrate right,negative,0
best day ever #1063,best day ever,positive,2
so frustrated right now #4460,frustrate right,negative,0
as expected #6431,expect,neutral,1
link attached for reference #9349,link attach reference,neutral,1
see you tomorrow #1169,see tomorrow,neutral,1
excellent quality #3220,excellent quality,positive,2
loving this so much #1904,love much,positive,2
excellent quality #4209,excellent quality,positive,2
as expected #2283,expect,neutral,1
will follow up later #5688,follow later,neutral,1
noted for the record #3859,note record,neutral,1
so frustrated right now #848,frustrate right,negative,0
as expected #1307,expect,neutral,1
as expected #1929,expect,neutral,1
loving this so much #4267,love much,positive,2
hate this update #1857,hate update,negative,0
fantastic support team #5677,fantastic support team,positive,2
best day ever #5113,best day ever,positive,2
see you tomorrow #8497,see tomorrow,neutral,1
as expected #6972,expect,neutral,1
loving this so much #2377,love much,positive,2
worst experience ever #8803,bad experience ever,negative,0
best day ever #737,best day ever,positive,2
would not recommend #10,would recommend,negative,0
will follow up later #4325,follow later,neutral,1
would not recommend #2366,would recommend,negative,0
highly recommend #5072,highly recommend,positive,2
great experience #8216,great experience,positive,2
see you tomorrow #2968,see tomorrow,neutral,1
excellent quality #7558,excellent quality,positive,2
great experience #6806,great experience,positive,2
this made my day #6852,make day,positive,2
terrible quality #8511,terrible quality,negative,0
will follow up later #5748,follow later,neutral,1
so frustrated right now #5202,frustrate right,negative,0
totally disappointed with this #7348,totally disappointed,negative,0
noted for the record #1754,note record,neutral,1
excellent quality #8217,excellent quality,positive,2
great experience #6660,great experience,positive,2
terrible quality #1946,terrible quality,negative,0
link attached for reference #4627,link attach reference,neutral,1
loving this so much #9713,love much,positive,2
would not recommend #8297,would recommend,negative,0
fantastic support team #6025,fantastic support team,positive,2
waste of time #489,waste time,negative,0
great experience #9023,great experience,positive,2
worst experience ever #9157,bad experience ever,negative,0
totally disappointed with this #8089,totally disappointed,negative,0
totally disappointed with this #3224,totally disappointed,negative,0
would not recommend #9553,would recommend,negative,0
so frustrated right now #3464,frustrate right,negative,0
standard procedure #9223,standard procedure,neutral,1
the meeting is at 3pm #807,meeting 3pm,neutral,1
fantastic support team #9788,fantastic support team,positive,2
loving this so much #8158,love much,positive,2
totally disappointed with this #8464,totally disappointed,negative,0
worst experience ever #4727,bad experience ever,negative,0
so happy with this #3386,happy,positive,2
noted for the record #2244,note record,neutral,1
see you tomorrow #2013,see tomorrow,neutral,1
the meeting is at 3pm #9233,meeting 3pm,neutral,1
excellent quality #616,excellent quality,positive,2
noted for the record #2660,note record,neutral,1
totally disappointed with this #2121,totally disappointed,negative,0
standard procedure #3297,standard procedure,neutral,1
hate this update #8989,hate update,negative,0
this is awful #3162,awful,negative,0
so happy with this #1615,happy,positive,2
noted for the record #7605,note record,neutral,1
waste of time #1997,waste time,negative,0
totally disappointed with this #6501,totally disappointed,negative,0
the meeting is at 3pm #1979,meeting 3pm,neutral,1
noted for the record #158,note record,neutral,1
would not recommend #1256,would recommend,negative,0
worst experience ever #927,bad experience ever,negative,0
the meeting is at 3pm #2885,meeting 3pm,neutral,1
this is awful #5687,awful,negative,0
link attached for reference #6301,link attach reference,neutral,1
worst experience ever #950,bad experience ever,negative,0
best day ever #5985,best day ever,positive,2
best day ever #625,best day ever,positive,2
excellent quality #2414,excellent quality,positive,2
worst experience ever #2832,bad experience ever,negative,0
standard procedure #8420,standard procedure,neutral,1
so happy with this #4683,happy,positive,2
see you tomorrow #4718,see tomorrow,neutral,1
loving this so much #9879,love much,positive,2
standard procedure #325,standard procedure,neutral,1
this made my day #2010,make day,positive,2
worst experience ever #5614,bad experience ever,negative,0
highly recommend #6474,highly recommend,positive,2
so frustrated right now #8013,frustrate right,negative,0
link attached for reference #7278,link attach reference,neutral,1
excellent quality #7424,excellent quality,positive,2
link attached for reference #8027,link attach reference,neutral,1
standard procedure #3335,standard procedure,neutral,1
so happy with this #4156,happy,positive,2
best day ever #7257,best day ever,positive,2
standard procedure #4940,standard procedure,neutral,1
terrible quality #2706,terrible quality,negative,0
so happy with this #5059,happy,positive,2
as expected #6573,expect,neutral,1
ok thanks #7248,ok thanks,neutral,1
see you tomorrow #7975,see tomorrow,neutral,1
best day ever #1256,best day ever,positive,2
ok thanks #1479,ok thanks,neutral,1
this is awful #211,awful,negative,0
best day ever #8865,best day ever,positive,2
this made my day #4390,make day,positive,2
ok thanks #8244,ok thanks,neutral,1
highly recommend #9522,highly recommend,positive,2
worst experience ever #3330,bad experience ever,negative,0
so frustrated right now #6481,frustrate right,negative,0
this is awful #7838,awful,negative,0
so frustrated right now #6683,frustrate right,negative,0
this made my day #983,make day,positive,2
this is awful #7838,awful,negative,0
link attached for reference #7908,link attach reference,neutral,1
so happy with this #569,happy,positive,2
noted for the record #995,note record,neutral,1
standard procedure #4583,standard procedure,neutral,1
great experience #5597,great experience,positive,2
this is awful #8607,awful,negative,0
ok thanks #4285,ok thanks,neutral,1
as expected #351,expect,neutral,1
terrible quality #5072,terrible quality,negative,0
loving this so much #1014,love much,positive,2
noted for the record #8752,note record,neutral,1
as expected #5452,expect,neutral,1
loving this so much #4953,love much,positive,2
best day ever #3070,best day ever,positive,2
totally disappointed with this #8390,totally disappointed,negative,0
as expected #123,expect,neutral,1
worst experience ever #2843,bad experience ever,negative,0
highly recommend #795,highly recommend,positive,2
would not recommend #6747,would recommend,negative,0
great experience #6519,great experience,positive,2
so frustrated right now #6395,frustrate right,negative,0
highly recommend #3538,highly recommend,positive,2
the meeting is at 3pm #1697,meeting 3pm,neutral,1
as expected #9662,expect,neutral,1
this is awful #545,awful,negative,0
hate this update #3424,hate update,negative,0
see you tomorrow #3791,see tomorrow,neutral,1
this made my day #2776,make day,positive,2
best day ever #5575,best day ever,positive,2
fantastic support team #3799,fantastic support team,positive,2
ok thanks #162,ok thanks,neutral,1
this is awful #7840,awful,negative,0
loving this so much #1433,love much,positive,2
will follow up later #5286,follow later,neutral,1
totally disappointed with this #9330,totally disappointed,negative,0
terrible quality #4649,terrible quality,negative,0
this is awful #9160,awful,negative,0
so happy with this #3176,happy,positive,2
the meeting is at 3pm #2472,meeting 3pm,neutral,1
this made my day #5675,make day,positive,2
this made my day #8115,make day,positive,2
great experience #2780,great experience,positive,2
highly recommend #8019,highly recommend,positive,2
the meeting is at 3pm #4495,meeting 3pm,neutral,1
totally disappointed with this #8326,totally disappointed,negative,0
will follow up later #7718,follow later,neutral,1
standard procedure #8117,standard procedure,neutral,1
excellent quality #2813,excellent quality,positive,2
fantastic support team #1339,fantastic support team,positive,2
as expected #7088,expect,neutral,1
see you tomorrow #8466,see tomorrow,neutral,1
best day ever #1954,best day ever,positive,2
so frustrated right now #1403,frustrate right,negative,0
terrible quality #3283,terrible quality,negative,0
link attached for reference #8929,link attach reference,neutral,1
worst experience ever #3019,bad experience ever,negative,0
waste of time #2658,waste time,negative,0
fantastic support team #8216,fantastic support team,positive,2
would not recommend #2542,would recommend,negative,0
as expected #2793,expect,neutral,1
as expected #237,expect,neutral,1
great experience #3426,great experience,positive,2
totally disappointed with this #7296,totally disappointed,negative,0
terrible quality #7746,terrible quality,negative,0
terrible quality #2187,terrible quality,negative,0
best day ever #7068,best day ever,positive,2
this made my day #8727,make day,positive,2
as expected #5638,expect,neutral,1
worst experience ever #4806,bad experience ever,negative,0
standard procedure #6261,standard procedure,neutral,1
waste of time #9405,waste time,negative,0
excellent quality #671,excellent quality,positive,2
will follow up later #1086,follow later,neutral,1
this is awful #4000,awful,negative,0
ok thanks #2217,ok thanks,neutral,1
highly recommend #162,highly recommend,positive,2
the meeting is at 3pm #9410,meeting 3pm,neutral,1
this is awful #5308,awful,negative,0
noted for the record #8442,note record,neutral,1
link attached for reference #9192,link attach reference,neutral,1
ok thanks #9829,ok thanks,neutral,1
hate this update #146,hate update,negative,0
terrible quality #4345,terrible quality,negative,0
this is awful #5206,awful,negative,0
this made my day #6534,make day,positive,2
standard procedure #2235,standard procedure,neutral,1
totally disappointed with this #5007,totally disappointed,negative,0
standard procedure #3321,standard procedure,neutral,1
best day ever #2192,best day ever,positive,2
as expected #3737,expect,neutral,1
highly recommend #3438,highly recommend,positive,2
great experience #9976,great experience,positive,2
totally disappointed with this #5346,totally disappointed,negative,0
worst experience ever #54,bad experience ever,negative,0
highly recommend #3146,highly recommend,positive,2
link attached for reference #740,link attach reference,neutral,1
excellent quality #522,excellent quality,positive,2
ok thanks #663,ok thanks,neutral,1
waste of time #5157,waste time,negative,0
great experience #8771,great experience,positive,2
standard procedure #9910,standard procedure,neutral,1
waste of time #2645,waste time,negative,0
fantastic support team #5347,fantastic support team,positive,2
worst experience ever #1964,bad experience ever,negative,0
standard procedure #533,standard procedure,neutral,1
fantastic support team #4806,fantastic support team,positive,2
see you tomorrow #8748,see tomorrow,neutral,1
ok thanks #5275,ok thanks,neutral,1
so frustrated right now #1605,frustrate right,negative,0
so happy with this #1273,happy,positive,2
this made my day #9942,make day,positive,2
worst experience ever #4650,bad experience ever,negative,0
totally disappointed with this #4939,totally disappointed,negative,0
see you tomorrow #552,see tomorrow,neutral,1
will follow up later #9425,follow later,neutral,1
so happy with this #2015,happy,positive,2
highly recommend #6880,highly recommend,positive,2
this is awful #1542,awful,negative,0
hate this update #5237,hate update,negative,0
see you tomorrow #8027,see tomorrow,neutral,1
would not recommend #4423,would recommend,negative,0
the meeting is at 3pm #8341,meeting 3pm,neutral,1
this made my day #1730,make day,positive,2
excellent quality #8828,excellent quality,positive,2
excellent quality #1393,excellent quality,positive,2
ok thanks #2551,ok thanks,neutral,1
great experience #3655,great experience,positive,2
ok thanks #3143,ok thanks,neutral,1
excellent quality #952,excellent quality,positive,2
excellent quality #5231,excellent quality,positive,2
so happy with this #6427,happy,positive,2
fantastic support team #3643,fantastic support team,positive,2
totally disappointed with this #6470,totally disappointed,negative,0
great experience #9960,great experience,positive,2
totally disappointed with this #4192,totally disappointed,negative,0
this made my day #9258,make day,positive,2
best day ever #3442,best day ever,positive,2
great experience #6981,great experience,positive,2
standard procedure #1866,standard procedure,neutral,1
best day ever #4954,best day ever,positive,2
noted for the record #7471,note record,neutral,1
standard procedure #1474,standard procedure,neutral,1
waste of time #4031,waste time,negative,0
will follow up later #977,follow later,neutral,1
fantastic support team #2200,fantastic support team,positive,2
best day ever #8422,best day ever,positive,2
ok thanks #2021,ok thanks,neutral,1
see you tomorrow #9329,see tomorrow,neutral,1
worst experience ever #7936,bad experience ever,negative,0
so happy with this #9190,happy,positive,2
so frustrated right now #8970,frustrate right,negative,0
excellent quality #202,excellent quality,positive,2
fantastic support team #8521,fantastic support team,positive,2
excellent quality #6952,excellent quality,positive,2
this is awful #7773,awful,negative,0
great experience #7128,great experience,positive,2
loving this so much #6088,love much,positive,2
terrible quality #5626,terrible quality,negative,0
as expected #6584,expect,neutral,1
hate this update #7774,hate update,negative,0
this is awful #296,awful,negative,0
best day ever #2464,best day ever,positive,2
loving this so much #9278,love much,positive,2
loving this so much #576,love much,positive,2
highly recommend #5449,highly recommend,positive,2
totally disappointed with this #1753,totally disappointed,negative,0
excellent quality #7822,excellent quality,positive,2
great experience #2995,great experience,positive,2
great experience #3317,great experience,positive,2
would not recommend #5160,would recommend,negative,0
would not recommend #4687,would recommend,negative,0
see you tomorrow #399,see tomorrow,neutral,1
this made my day #1297,make day,positive,2
hate this update #7447,hate update,negative,0
link attached for reference #120,link attach reference,neutral,1
fantastic support team #5905,fantastic support team,positive,2
waste of time #8082,waste time,negative,0
standard procedure #2633,standard procedure,neutral,1
link attached for reference #1042,link attach reference,neutral,1
link attached for reference #1535,link attach reference,neutral,1
so happy with this #3112,happy,positive,2
noted for the record #7510,note record,neutral,1
link attached for reference #9216,link attach reference,neutral,1
this is awful #5809,awful,negative,0
highly recommend #4835,highly recommend,positive,2
as expected #2138,expect,neutral,1
as expected #5057,expect,neutral,1
as expected #1308,expect,neutral,1
the meeting is at 3pm #9876,meeting 3pm,neutral,1
worst experience ever #2068,bad experience ever,negative,0
as expected #7952,expect,neutral,1
will follow up later #9621,follow later,neutral,1
the meeting is at 3pm #2950,meeting 3pm,neutral,1
terrible quality #7115,terrible quality,negative,0
link attached for reference #5711,link attach reference,neutral,1
link attached for reference #8509,link attach reference,neutral,1
standard procedure #1194,standard procedure,neutral,1
see you tomorrow #4682,see tomorrow,neutral,1
fantastic support team #3323,fantastic support team,positive,2
will follow up later #1151,follow later,neutral,1
loving this so much #7705,love much,positive,2
the meeting is at 3pm #4721,meeting 3pm,neutral,1
so frustrated right now #7311,frustrate right,negative,0
this made my day #9858,make day,positive,2
see you tomorrow #1272,see tomorrow,neutral,1
highly recommend #3902,highly recommend,positive,2
the meeting is at 3pm #1553,meeting 3pm,neutral,1
highly recommend #3927,highly recommend,positive,2
highly recommend #4511,highly recommend,positive,2
worst experience ever #3741,bad experience ever,negative,0
ok thanks #7701,ok thanks,neutral,1
noted for the record #5748,note record,neutral,1
totally disappointed with this #8377,totally disappointed,negative,0
worst experience ever #7389,bad experience ever,negative,0
this is awful #8973,awful,negative,0
excellent quality #5118,excellent quality,positive,2
so frustrated right now #1003,frustrate right,negative,0
standard procedure #8178,standard procedure,neutral,1
link attached for reference #118,link attach reference,neutral,1
loving this so much #8690,love much,positive,2
link attached for reference #9256,link attach reference,neutral,1
great experience #6200,great experience,positive,2
as expected #4776,expect,neutral,1
worst experience ever #8347,bad experience ever,negative,0
highly recommend #9542,highly recommend,positive,2
so frustrated right now #7847,frustrate right,negative,0
as expected #978,expect,neutral,1
the meeting is at 3pm #2711,meeting 3pm,neutral,1
see you tomorrow #6415,see tomorrow,neutral,1
so happy with this #7609,happy,positive,2
highly recommend #3500,highly recommend,positive,2
standard procedure #3013,standard procedure,neutral,1
would not recommend #2835,would recommend,negative,0
excellent quality #8833,excellent quality,positive,2
this made my day #940,make day,positive,2
will follow up later #8836,follow later,neutral,1
would not recommend #9251,would recommend,negative,0
hate this update #2385,hate update,negative,0
excellent quality #9443,excellent quality,positive,2
noted for the record #8599,note record,neutral,1
great experience #4800,great experience,positive,2
ok thanks #3944,ok thanks,neutral,1
as expected #8850,expect,neutral,1
would not recommend #2648,would recommend,negative,0
worst experience ever #9766,bad experience ever,negative,0
best day ever #2219,best day ever,positive,2
best day ever #8828,best day ever,positive,2
the meeting is at 3pm #1770,meeting 3pm,neutral,1
terrible quality #1705,terrible quality,negative,0
standard procedure #1011,standard procedure,neutral,1
highly recommend #711,highly recommend,positive,2
this made my day #4970,make day,positive,2
noted for the record #2327,note record,neutral,1
worst experience ever #1468,bad experience ever,negative,0
see you tomorrow #2040,see tomorrow,neutral,1
will follow up later #8625,follow later,neutral,1
best day ever #7957,best day ever,positive,2
terrible quality #2018,terrible quality,negative,0
noted for the record #6143,note record,neutral,1
this is awful #6479,awful,negative,0
this made my day #1718,make day,positive,2
so frustrated right now #8043,frustrate right,negative,0
excellent quality #8510,excellent quality,positive,2
so frustrated right now #2083,frustrate right,negative,0
this is awful #5846,awful,negative,0
worst experience ever #3985,bad experience ever,negative,0
standard procedure #7050,standard procedure,neutral,1
will follow up later #5539,follow later,neutral,1
link attached for reference #9448,link attach reference,neutral,1
highly recommend #9956,highly recommend,positive,2
great experience #8544,great experience,positive,2
link attached for reference #9039,link attach reference,neutral,1
ok thanks #473,ok thanks,neutral,1
would not recommend #5047,would recommend,negative,0
so frustrated right now #8673,frustrate right,negative,0
as expected #1976,expect,neutral,1
hate this update #5146,hate update,negative,0
hate this update #8728,hate update,negative,0
loving this so much #8215,love much,positive,2
great experience #9187,great experience,positive,2
so frustrated right now #7611,frustrate right,negative,0
waste of time #3969,waste time,negative,0
link attached for reference #4683,link attach reference,neutral,1
worst experience ever #1346,bad experience ever,negative,0
link attached for reference #4505,link attach reference,neutral,1
will follow up later #9531,follow later,neutral,1
so happy with this #9269,happy,positive,2
waste of time #6684,waste time,negative,0
standard procedure #3951,standard procedure,neutral,1
fantastic support team #164,fantastic support team,positive,2
excellent quality #8675,excellent quality,positive,2
so happy with this #6295,happy,positive,2
the meeting is at 3pm #6645,meeting 3pm,neutral,1
hate this update #9238,hate update,negative,0
this is awful #1157,awful,negative,0
terrible quality #5250,terrible quality,negative,0
see you tomorrow #6549,see tomorrow,neutral,1
this made my day #4471,make day,positive,2
loving this so much #2280,love much,positive,2
hate this update #1379,hate update,negative,0
great experience #8018,great experience,positive,2
the meeting is at 3pm #3665,meeting 3pm,neutral,1
the meeting is at 3pm #3522,meeting 3pm,neutral,1
excellent quality #9538,excellent quality,positive,2
best day ever #7519,best day ever,positive,2
will follow up later #5570,follow later,neutral,1
as expected #9679,expect,neutral,1
best day ever #7404,best day ever,positive,2
highly recommend #3455,highly recommend,positive,2
waste of time #1154,waste time,negative,0
this is awful #3709,awful,negative,0
see you tomorrow #9173,see tomorrow,neutral,1
so happy with this #5523,happy,positive,2
loving this so much #5812,love much,positive,2
link attached for reference #4100,link attach reference,neutral,1
highly recommend #1597,highly recommend,positive,2
noted for the record #7166,note record,neutral,1
the meeting is at 3pm #7472,meeting 3pm,neutral,1
ok thanks #1951,ok thanks,neutral,1
so frustrated right now #4081,frustrate right,negative,0
highly recommend #5600,highly recommend,positive,2
as expected #8947,expect,neutral,1
waste of time #4564,waste time,negative,0
ok thanks #3715,ok thanks,neutral,1
this is awful #3253,awful,negative,0
noted for the record #459,note record,neutral,1
so frustrated right now #7269,frustrate right,negative,0
hate this update #9588,hate update,negative,0
highly recommend #6409,highly recommend,positive,2
ok thanks #7922,ok thanks,neutral,1
best day ever #6478,best day ever,positive,2
the meeting is at 3pm #3208,meeting 3pm,neutral,1
link attached for reference #6904,link attach reference,neutral,1
see you tomorrow #8880,see tomorrow,neutral,1
totally disappointed with this #5570,totally disappointed,negative,0
hate this update #7614,hate update,negative,0
hate this update #2409,hate update,negative,0
best day ever #6763,best day ever,positive,2
see you tomorrow #6141,see tomorrow,neutral,1
worst experience ever #5724,bad experience ever,negative,0
highly recommend #7174,highly recommend,positive,2
so frustrated right now #9866,frustrate right,negative,0
will follow up later #2750,follow later,neutral,1
this made my day #1542,make day,positive,2
see you tomorrow #4042,see tomorrow,neutral,1
great experience #8900,great experience,positive,2
would not recommend #4895,would recommend,negative,0
fantastic support team #805,fantastic support team,positive,2
see you tomorrow #9850,see tomorrow,neutral,1
hate this update #7686,hate update,negative,0
link attached for reference #2545,link attach reference,neutral,1
worst experience ever #9593,bad experience ever,negative,0
great experience #2669,great experience,positive,2
highly recommend #3271,highly recommend,positive,2
ok thanks #9780,ok thanks,neutral,1
so happy with this #7993,happy,positive,2
excellent quality #2506,excellent quality,positive,2
link attached for reference #7202,link attach reference,neutral,1
highly recommend #1134,highly recommend,positive,2
as expected #2496,expect,neutral,1
highly recommend #3963,highly recommend,positive,2
highly recommend #5248,highly recommend,positive,2
so happy with this #1198,happy,positive,2
see you tomorrow #4979,see tomorrow,neutral,1
as expected #9395,expect,neutral,1
loving this so much #8789,love much,positive,2
ok thanks #4021,ok thanks,neutral,1
see you tomorrow #9970,see tomorrow,neutral,1
terrible quality #5674,terrible quality,negative,0
waste of time #5365,waste time,negative,0
as expected #2739,expect,neutral,1
hate this update #6804,hate update,negative,0
link attached for reference #1059,link attach reference,neutral,1
this is awful #4779,awful,negative,0
highly recommend #449,highly recommend,positive,2
so frustrated right now #8956,frustrate right,negative,0
so frustrated right now #8602,frustrate right,negative,0
ok thanks #5935,ok thanks,neutral,1
waste of time #1438,waste time,negative,0
totally disappointed with this #3810,totally disappointed,negative,0
this made my day #4392,make day,positive,2
worst experience ever #8654,bad experience ever,negative,0
worst experience ever #6689,bad experience ever,negative,0
link attached for reference #5312,link attach reference,neutral,1
hate this update #7102,hate update,negative,0
waste of time #1627,waste time,negative,0
loving this so much #2440,love much,positive,2
standard procedure #3397,standard procedure,neutral,1
so frustrated right now #3413,frustrate right,negative,0
this made my day #1841,make day,positive,2
link attached for reference #4200,link attach reference,neutral,1
worst experience ever #3923,bad experience ever,negative,0
so happy with this #2999,happy,positive,2
as expected #904,expect,neutral,1
terrible quality #2442,terrible quality,negative,0
standard procedure #2463,standard procedure,neutral,1
see you tomorrow #3918,see tomorrow,neutral,1
hate this update #6408,hate update,negative,0
excellent quality #373,excellent quality,positive,2
excellent quality #9398,excellent quality,positive,2
best day ever #615,best day ever,positive,2
best day ever #5461,best day ever,positive,2
great experience #2448,great experience,positive,2
worst experience ever #720,bad experience ever,negative,0
this made my day #3480,make day,positive,2
standard procedure #2456,standard procedure,neutral,1
this made my day #763,make day,positive,2
link attached for reference #8381,link attach reference,neutral,1
so frustrated right now #1269,frustrate right,negative,0
will follow up later #9890,follow later,neutral,1
hate this update #3171,hate update,negative,0
the meeting is at 3pm #8863,meeting 3pm,neutral,1
worst experience ever #6656,bad experience ever,negative,0
highly recommend #5851,highly recommend,positive,2
see you tomorrow #1506,see tomorrow,neutral,1
worst experience ever #3975,bad experience ever,negative,0
this is awful #844,awful,negative,0
this is awful #4379,awful,negative,0
highly recommend #6845,highly recommend,positive,2
great experience #5526,great experience,positive,2
best day ever #4333,best day ever,positive,2
see you tomorrow #9228,see tomorrow,neutral,1
ok thanks #8463,ok thanks,neutral,1
link attached for reference #9318,link attach reference,neutral,1
link attached for reference #5333,link attach reference,neutral,1
this made my day #8600,make day,positive,2
this is awful #6337,awful,negative,0
the meeting is at 3pm #7237,meeting 3pm,neutral,1
see you tomorrow #1813,see tomorrow,neutral,1
the meeting is at 3pm #4684,meeting 3pm,neutral,1
this is awful #655,awful,negative,0
this made my day #5988,make day,positive,2
as expected #9585,expect,neutral,1
waste of time #248,waste time,negative,0
link attached for reference #7718,link attach reference,neutral,1
this is awful #6107,awful,negative,0
excellent quality #7582,excellent quality,positive,2
hate this update #8212,hate update,negative,0
as expected #4622,expect,neutral,1
ok thanks #7117,ok thanks,neutral,1
noted for the record #4462,note record,neutral,1
this is awful #6534,awful,negative,0
so frustrated right now #7783,frustrate right,negative,0
terrible quality #1171,terrible quality,negative,0
so happy with this #1096,happy,positive,2
so happy with this #2573,happy,positive,2
would not recommend #8605,would recommend,negative,0
loving this so much #4745,love much,positive,2
highly recommend #7423,highly recommend,positive,2
this made my day #1096,make day,positive,2
so frustrated right now #1034,frustrate right,negative,0
worst experience ever #7649,bad experience ever,negative,0
as expected #5978,expect,neutral,1
so frustrated right now #603,frustrate right,negative,0
great experience #7729,great experience,positive,2
will follow up later #4144,follow later,neutral,1
see you tomorrow #3854,see tomorrow,neutral,1
worst experience ever #7486,bad experience ever,negative,0
loving this so much #2840,love much,positive,2
link attached for reference #3827,link attach reference,neutral,1
