text,sentiment,target
fantastic support team #1274,positive,2
will follow up later #2027,neutral,1
noted for the record #4290,neutral,1
loving this so much #8157,positive,2
would not recommend #8262,negative,0
see you tomorrow #3688,neutral,1
worst experience ever #1729,negative,0
best day ever #6858,positive,2
link attached for reference #2865,neutral,1
excellent quality #9242,positive,2
link attached for reference #9908,neutral,1
hate this update #8674,negative,0
the meeting is at 3pm #5796,neutral,1
this is awful #904,negative,0
hate this update #1016,negative,0
noted for the record #4892,neutral,1
so happy with this #1737,positive,2
as expected #1458,neutral,1
see you tomorrow #8955,neutral,1
link attached for reference #6927,neutral,1
ok thanks #1465,neutral,1
highly recommend #3216,positive,2
see you tomorrow #8239,neutral,1
loving this so much #2342,positive,2
loving this so much #5203,positive,2
loving this so much #8129,positive,2
so frustrated right now #7496,negative,0
this is awful #9756,negative,0
worst experience ever #3123,negative,0
the meeting is at 3pm #8757,neutral,1
link attached for reference #7983,neutral,1
noted for the record #751,neutral,1
the meeting is at 3pm #9300,neutral,1
highly recommend #5638,positive,2
so happy with this #3180,positive,2
this made my day #6355,positive,2
hate this update #8362,negative,0
waste of time #6625,negative,0
best day ever #262,positive,2
loving this so much #5933,positive,2
so frustrated right now #4135,negative,0
great experience #2616,positive,2
highly recommend #1288,positive,2
best day ever #1390,positive,2
as expected #8361,neutral,1
highly recommend #2903,positive,2
this is awful #7206,negative,0
great experience #2252,positive,2
best day ever #4383,positive,2
highly recommend #717,positive,2
would not recommend #4861,negative,0
loving this so much #5072,positive,2
this is awful #528,negative,0
great experience #8644,positive,2
waste of time #1923,negative,0
so frustrated right now #2722,negative,0
loving this so much #9056,positive,2
excellent quality #9051,positive,2
terrible quality #2119,negative,0
would not recommend #2781,negative,0
this is awful #4279,negative,0
great experience #5535,positive,2
will follow up later #9711,neutral,1
excellent quality #4319,positive,2
this made my day #129,positive,2
totally disappointed with this #9792,negative,0
highly recommend #9329,positive,2
will follow up later #8144,neutral,1
ok thanks #935,neutral,1
great experience #3148,positive,2
so frustrated right now #4710,negative,0
standard procedure #8297,neutral,1
so happy with this #9667,positive,2
terrible quality #583,negative,0
terrible quality #3850,negative,0
fantastic support team #3179,positive,2
ok thanks #7493,neutral,1
so frustrated right now #6167,negative,0
highly recommend #3440,positive,2
noted for the record #3991,neutral,1
so happy with this #8468,positive,2
worst experience ever #8519,negative,0
totally disappointed with this #7054,negative,0
terrible quality #1879,negative,0
so frustrated right now #7278,negative,0
standard procedure #4262,neutral,1
will follow up later #5786,neutral,1
fantastic support team #6843,positive,2
see you tomorrow #8897,neutral,1
link attached for reference #9867,neutral,1
great experience #70,positive,2
this is awful #1368,negative,0
this is awful #8745,negative,0
noted for the record #9997,neutral,1
as expected #8150,neutral,1
fantastic support team #5064,positive,2
highly recommend #9375,positive,2
excellent quality #5791,positive,2
link attached for reference #2001,neutral,1
terrible quality #1073,negative,0
this made my day #8095,positive,2
great experience #1615,positive,2
link attached for reference #4382,neutral,1
great experience #975,positive,2
totally disappointed with this #451,negative,0
would not recommend #1628,negative,0
loving this so much #2488,positive,2
excellent quality #7054,positive,2
best day ever #9023,positive,2
the meeting is at 3pm #8766,neutral,1
terrible quality #178,negative,0
best day ever #7513,positive,2
loving this so much #8487,positive,2
highly recommend #7456,positive,2
excellent quality #3904,positive,2
hate this update #9125,negative,0
hate this update #361,negative,0
excellent quality #389,positive,2
ok thanks #4860,neutral,1
totally disappointed with this #3183,negative,0
ok thanks #1410,neutral,1
excellent quality #3779,positive,2
best day ever #2930,positive,2
this is awful #4379,negative,0
so frustrated right now #5348,negative,0
best day ever #1063,positive,2
so frustrated right now #4460,negative,0
as expected #6431,neutral,1
link attached for reference #9349,neutral,1
see you tomorrow #1169,neutral,1
excellent quality #3220,positive,2
loving this so much #1904,positive,2
excellent quality #4209,positive,2
as expected #2283,neutral,1
will follow up later #5688,neutral,1
noted for the record #3859,neutral,1
so frustrated right now #848,negative,0
as expected #1307,neutral,1
as expected #1929,neutral,1
loving this so much #4267,positive,2
hate this update #1857,negative,0
fantastic support team #5677,positive,2
best day ever #5113,positive,2
see you tomorrow #8497,neutral,1
as expected #6972,neutral,1
loving this so much #2377,positive,2
worst experience ever #8803,negative,0
best day ever #737,positive,2
would not recommend #10,negative,0
will follow up later #4325,neutral,1
would not recommend #2366,negative,0
highly recommend #5072,positive,2
great experience #8216,positive,2
see you tomorrow #2968,neutral,1
excellent quality #7558,positive,2
great experience #6806,positive,2
this made my day #6852,positive,2
terrible quality #8511,negative,0
will follow up later #5748,neutral,1
so frustrated right now #5202,negative,0
totally disappointed with this #7348,negative,0
noted for the record #1754,neutral,1
excellent quality #8217,positive,2
great experience #6660,positive,2
terrible quality #1946,negative,0
link attached for reference #4627,neutral,1
loving this so much #9713,positive,2
would not recommend #8297,negative,0
fantastic support team #6025,positive,2
waste of time #489,negative,0
great experience #9023,positive,2
worst experience ever #9157,negative,0
totally disappointed with this #8089,negative,0
totally disappointed with this #3224,negative,0
would not recommend #9553,negative,0
so frustrated right now #3464,negative,0
standard procedure #9223,neutral,1
the meeting is at 3pm #807,neutral,1
fantastic support team #9788,positive,2
loving this so much #8158,positive,2
totally disappointed with this #8464,negative,0
worst experience ever #4727,negative,0
so happy with this #3386,positive,2
noted for the record #2244,neutral,1
see you tomorrow #2013,neutral,1
the meeting is at 3pm #9233,neutral,1
excellent quality #616,positive,2
noted for the record #2660,neutral,1
totally disappointed with this #2121,negative,0
standard procedure #3297,neutral,1
hate this update #8989,negative,0
this is awful #3162,negative,0
so happy with this #1615,positive,2
noted for the record #7605,neutral,1
waste of time #1997,negative,0
totally disappointed with this #6501,negative,0
the meeting is at 3pm #1979,neutral,1
noted for the record #158,neutral,1
would not recommend #1256,negative,0
worst experience ever #927,negative,0
the meeting is at 3pm #2885,neutral,1
this is awful #5687,negative,0
link attached for reference #6301,neutral,1
worst experience ever #950,negative,0
best day ever #5985,positive,2
best day ever #625,positive,2
excellent quality #2414,positive,2
worst experience ever #2832,negative,0
standard procedure #8420,neutral,1
so happy with this #4683,positive,2
see you tomorrow #4718,neutral,1
loving this so much #9879,positive,2
standard procedure #325,neutral,1
this made my day #2010,positive,2
worst experience ever #5614,negative,0
highly recommend #6474,positive,2
so frustrated right now #8013,negative,0
link attached for reference #7278,neutral,1
excellent quality #7424,positive,2
link attached for reference #8027,neutral,1
standard procedure #3335,neutral,1
so happy with this #4156,positive,2
best day ever #7257,positive,2
standard procedure #4940,neutral,1
terrible quality #2706,negative,0
so happy with this #5059,positive,2
as expected #6573,neutral,1
ok thanks #7248,neutral,1
see you tomorrow #7975,neutral,1
best day ever #1256,positive,2
ok thanks #1479,neutral,1
this is awful #211,negative,0
best day ever #8865,positive,2
this made my day #4390,positive,2
ok thanks #8244,neutral,1
highly recommend #9522,positive,2
worst experience ever #3330,negative,0
so frustrated right now #6481,negative,0
this is awful #7838,negative,0
so frustrated right now #6683,negative,0
this made my day #983,positive,2
this is awful #7838,negative,0
link attached for reference #7908,neutral,1
so happy with this #569,positive,2
noted for the record #995,neutral,1
standard procedure #4583,neutral,1
great experience #5597,positive,2
this is awful #8607,negative,0
ok thanks #4285,neutral,1
as expected #351,neutral,1
terrible quality #5072,negative,0
loving this so much #1014,positive,2
noted for the record #8752,neutral,1
as expected #5452,neutral,1
loving this so much #4953,positive,2
best day ever #3070,positive,2
totally disappointed with this #8390,negative,0
as expected #123,neutral,1
worst experience ever #2843,negative,0
highly recommend #795,positive,2
would not recommend #6747,negative,0
great experience #6519,positive,2
so frustrated right now #6395,negative,0
highly recommend #3538,positive,2
the meeting is at 3pm #1697,neutral,1
as expected #9662,neutral,1
this is awful #545,negative,0
hate this update #3424,negative,0
see you tomorrow #3791,neutral,1
this made my day #2776,positive,2
best day ever #5575,positive,2
fantastic support team #3799,positive,2
ok thanks #162,neutral,1
this is awful #7840,negative,0
loving this so much #1433,positive,2
will follow up later #5286,neutral,1
totally disappointed with this #9330,negative,0
terrible quality #4649,negative,0
this is awful #9160,negative,0
so happy with this #3176,positive,2
the meeting is at 3pm #2472,neutral,1
this made my day #5675,positive,2
this made my day #8115,positive,2
great experience #2780,positive,2
highly recommend #8019,positive,2
the meeting is at 3pm #4495,neutral,1
totally disappointed with this #8326,negative,0
will follow up later #7718,neutral,1
standard procedure #8117,neutral,1
excellent quality #2813,positive,2
fantastic support team #1339,positive,2
as expected #7088,neutral,1
see you tomorrow #8466,neutral,1
best day ever #1954,positive,2
so frustrated right now #1403,negative,0
terrible quality #3283,negative,0
link attached for reference #8929,neutral,1
worst experience ever #3019,negative,0
waste of time #2658,negative,0
fantastic support team #8216,positive,2
would not recommend #2542,negative,0
as expected #2793,neutral,1
as expected #237,neutral,1
great experience #3426,positive,2
totally disappointed with this #7296,negative,0
terrible quality #7746,negative,0
terrible quality #2187,negative,0
best day ever #7068,positive,2
this made my day #8727,positive,2
as expected #5638,neutral,1
worst experience ever #4806,negative,0
standard procedure #6261,neutral,1
waste of time #9405,negative,0
excellent quality #671,positive,2
will follow up later #1086,neutral,1
this is awful #4000,negative,0
ok thanks #2217,neutral,1
highly recommend #162,positive,2
the meeting is at 3pm #9410,neutral,1
this is awful #5308,negative,0
noted for the record #8442,neutral,1
link attached for reference #9192,neutral,1
ok thanks #9829,neutral,1
hate this update #146,negative,0
terrible quality #4345,negative,0
this is awful #5206,negative,0
this made my day #6534,positive,2
standard procedure #2235,neutral,1
totally disappointed with this #5007,negative,0
standard procedure #3321,neutral,1
best day ever #2192,positive,2
as expected #3737,neutral,1
highly recommend #3438,positive,2
great experience #9976,positive,2
totally disappointed with this #5346,negative,0
worst experience ever #54,negative,0
highly recommend #3146,positive,2
link attached for reference #740,neutral,1
excellent quality #522,positive,2
ok thanks #663,neutral,1
waste of time #5157,negative,0
great experience #8771,positive,2
standard procedure #9910,neutral,1
waste of time #2645,negative,0
fantastic support team #5347,positive,2
worst experience ever #1964,negative,0
standard procedure #533,neutral,1
fantastic support team #4806,positive,2
see you tomorrow #8748,neutral,1
ok thanks #5275,neutral,1
so frustrated right now #1605,negative,0
so happy with this #1273,positive,2
this made my day #9942,positive,2
worst experience ever #4650,negative,0
totally disappointed with this #4939,negative,0
see you tomorrow #552,neutral,1
will follow up later #9425,neutral,1
so happy with this #2015,positive,2
highly recommend #6880,positive,2
this is awful #1542,negative,0
hate this update #5237,negative,0
see you tomorrow #8027,neutral,1
would not recommend #4423,negative,0
the meeting is at 3pm #8341,neutral,1
this made my day #1730,positive,2
excellent quality #8828,positive,2
excellent quality #1393,positive,2
ok thanks #2551,neutral,1
great experience #3655,positive,2
ok thanks #3143,neutral,1
excellent quality #952,positive,2
excellent quality #5231,positive,2
so happy with this #6427,positive,2
fantastic support team #3643,positive,2
totally disappointed with this #6470,negative,0
great experience #9960,positive,2
totally disappointed with this #4192,negative,0
this made my day #9258,positive,2
best day ever #3442,positive,2
great experience #6981,positive,2
standard procedure #1866,neutral,1
best day ever #4954,positive,2
noted for the record #7471,neutral,1
standard procedure #1474,neutral,1
waste of time #4031,negative,0
will follow up later #977,neutral,1
fantastic support team #2200,positive,2
best day ever #8422,positive,2
ok thanks #2021,neutral,1
see you tomorrow #9329,neutral,1
worst experience ever #7936,negative,0
so happy with this #9190,positive,2
so frustrated right now #8970,negative,0
excellent quality #202,positive,2
fantastic support team #8521,positive,2
excellent quality #6952,positive,2
this is awful #7773,negative,0
great experience #7128,positive,2
loving this so much #6088,positive,2
terrible quality #5626,negative,0
as expected #6584,neutral,1
hate this update #7774,negative,0
this is awful #296,negative,0
best day ever #2464,positive,2
loving this so much #9278,positive,2
loving this so much #576,positive,2
highly recommend #5449,positive,2
totally disappointed with this #1753,negative,0
excellent quality #7822,positive,2
great experience #2995,positive,2
great experience #3317,positive,2
would not recommend #5160,negative,0
would not recommend #4687,negative,0
see you tomorrow #399,neutral,1
this made my day #1297,positive,2
hate this update #7447,negative,0
link attached for reference #120,neutral,1
fantastic support team #5905,positive,2
waste of time #8082,negative,0
standard procedure #2633,neutral,1
link attached for reference #1042,neutral,1
link attached for reference #1535,neutral,1
so happy with this #3112,positive,2
noted for the record #7510,neutral,1
link attached for reference #9216,neutral,1
this is awful #5809,negative,0
highly recommend #4835,positive,2
as expected #2138,neutral,1
as expected #5057,neutral,1
as expected #1308,neutral,1
the meeting is at 3pm #9876,neutral,1
worst experience ever #2068,negative,0
as expected #7952,neutral,1
will follow up later #9621,neutral,1
the meeting is at 3pm #2950,neutral,1
terrible quality #7115,negative,0
link attached for reference #5711,neutral,1
link attached for reference #8509,neutral,1
standard procedure #1194,neutral,1
see you tomorrow #4682,neutral,1
fantastic support team #3323,positive,2
will follow up later #1151,neutral,1
loving this so much #7705,positive,2
the meeting is at 3pm #4721,neutral,1
so frustrated right now #7311,negative,0
this made my day #9858,positive,2
see you tomorrow #1272,neutral,1
highly recommend #3902,positive,2
the meeting is at 3pm #1553,neutral,1
highly recommend #3927,positive,2
highly recommend #4511,positive,2
worst experience ever #3741,negative,0
ok thanks #7701,neutral,1
noted for the record #5748,neutral,1
totally disappointed with this #8377,negative,0
worst experience ever #7389,negative,0
this is awful #8973,negative,0
excellent quality #5118,positive,2
so frustrated right now #1003,negative,0
standard procedure #8178,neutral,1
link attached for reference #118,neutral,1
loving this so much #8690,positive,2
link attached for reference #9256,neutral,1
great experience #6200,positive,2
as expected #4776,neutral,1
worst experience ever #8347,negative,0
highly recommend #9542,positive,2
so frustrated right now #7847,negative,0
as expected #978,neutral,1
the meeting is at 3pm #2711,neutral,1
see you tomorrow #6415,neutral,1
so happy with this #7609,positive,2
highly recommend #3500,positive,2
standard procedure #3013,neutral,1
would not recommend #2835,negative,0
excellent quality #8833,positive,2
this made my day #940,positive,2
will follow up later #8836,neutral,1
would not recommend #9251,negative,0
hate this update #2385,negative,0
excellent quality #9443,positive,2
noted for the record #8599,neutral,1
great experience #4800,positive,2
ok thanks #3944,neutral,1
as expected #8850,neutral,1
would not recommend #2648,negative,0
worst experience ever #9766,negative,0
best day ever #2219,positive,2
best day ever #8828,positive,2
the meeting is at 3pm #1770,neutral,1
terrible quality #1705,negative,0
standard procedure #1011,neutral,1
highly recommend #711,positive,2
this made my day #4970,positive,2
noted for the record #2327,neutral,1
worst experience ever #1468,negative,0
see you tomorrow #2040,neutral,1
will follow up later #8625,neutral,1
best day ever #7957,positive,2
terrible quality #2018,negative,0
noted for the record #6143,neutral,1
this is awful #6479,negative,0
this made my day #1718,positive,2
so frustrated right now #8043,negative,0
excellent quality #8510,positive,2
so frustrated right now #2083,negative,0
this is awful #5846,negative,0
worst experience ever #3985,negative,0
standard procedure #7050,neutral,1
will follow up later #5539,neutral,1
link attached for reference #9448,neutral,1
highly recommend #9956,positive,2
great experience #8544,positive,2
link attached for reference #9039,neutral,1
ok thanks #473,neutral,1
would not recommend #5047,negative,0
so frustrated right now #8673,negative,0
as expected #1976,neutral,1
hate this update #5146,negative,0
hate this update #8728,negative,0
loving this so much #8215,positive,2
great experience #9187,positive,2
so frustrated right now #7611,negative,0
waste of time #3969,negative,0
link attached for reference #4683,neutral,1
worst experience ever #1346,negative,0
link attached for reference #4505,neutral,1
will follow up later #9531,neutral,1
so happy with this #9269,positive,2
waste of time #6684,negative,0
standard procedure #3951,neutral,1
fantastic support team #164,positive,2
excellent quality #8675,positive,2
so happy with this #6295,positive,2
the meeting is at 3pm #6645,neutral,1
hate this update #9238,negative,0
this is awful #1157,negative,0
terrible quality #5250,negative,0
see you tomorrow #6549,neutral,1
this made my day #4471,positive,2
loving this so much #2280,positive,2
hate this update #1379,negative,0
great experience #8018,positive,2
the meeting is at 3pm #3665,neutral,1
the meeting is at 3pm #3522,neutral,1
excellent quality #9538,positive,2
best day ever #7519,positive,2
will follow up later #5570,neutral,1
as expected #9679,neutral,1
best day ever #7404,positive,2
highly recommend #3455,positive,2
waste of time #1154,negative,0
this is awful #3709,negative,0
see you tomorrow #9173,neutral,1
so happy with this #5523,positive,2
loving this so much #5812,positive,2
link attached for reference #4100,neutral,1
highly recommend #1597,positive,2
noted for the record #7166,neutral,1
the meeting is at 3pm #7472,neutral,1
ok thanks #1951,neutral,1
so frustrated right now #4081,negative,0
highly recommend #5600,positive,2
as expected #8947,neutral,1
waste of time #4564,negative,0
ok thanks #3715,neutral,1
this is awful #3253,negative,0
noted for the record #459,neutral,1
so frustrated right now #7269,negative,0
hate this update #9588,negative,0
highly recommend #6409,positive,2
ok thanks #7922,neutral,1
best day ever #6478,positive,2
the meeting is at 3pm #3208,neutral,1
link attached for reference #6904,neutral,1
see you tomorrow #8880,neutral,1
totally disappointed with this #5570,negative,0
hate this update #7614,negative,0
hate this update #2409,negative,0
best day ever #6763,positive,2
see you tomorrow #6141,neutral,1
worst experience ever #5724,negative,0
highly recommend #7174,positive,2
so frustrated right now #9866,negative,0
will follow up later #2750,neutral,1
this made my day #1542,positive,2
see you tomorrow #4042,neutral,1
great experience #8900,positive,2
would not recommend #4895,negative,0
fantastic support team #805,positive,2
see you tomorrow #9850,neutral,1
hate this update #7686,negative,0
link attached for reference #2545,neutral,1
worst experience ever #9593,negative,0
great experience #2669,positive,2
highly recommend #3271,positive,2
ok thanks #9780,neutral,1
so happy with this #7993,positive,2
excellent quality #2506,positive,2
link attached for reference #7202,neutral,1
highly recommend #1134,positive,2
as expected #2496,neutral,1
highly recommend #3963,positive,2
highly recommend #5248,positive,2
so happy with this #1198,positive,2
see you tomorrow #4979,neutral,1
as expected #9395,neutral,1
loving this so much #8789,positive,2
ok thanks #4021,neutral,1
see you tomorrow #9970,neutral,1
terrible quality #5674,negative,0
waste of time #5365,negative,0
as expected #2739,neutral,1
hate this update #6804,negative,0
link attached for reference #1059,neutral,1
this is awful #4779,negative,0
highly recommend #449,positive,2
so frustrated right now #8956,negative,0
so frustrated right now #8602,negative,0
ok thanks #5935,neutral,1
waste of time #1438,negative,0
totally disappointed with this #3810,negative,0
this made my day #4392,positive,2
worst experience ever #8654,negative,0
worst experience ever #6689,negative,0
link attached for reference #5312,neutral,1
hate this update #7102,negative,0
waste of time #1627,negative,0
loving this so much #2440,positive,2
standard procedure #3397,neutral,1
so frustrated right now #3413,negative,0
this made my day #1841,positive,2
link attached for reference #4200,neutral,1
worst experience ever #3923,negative,0
so happy with this #2999,positive,2
as expected #904,neutral,1
terrible quality #2442,negative,0
standard procedure #2463,neutral,1
see you tomorrow #3918,neutral,1
hate this update #6408,negative,0
excellent quality #373,positive,2
excellent quality #9398,positive,2
best day ever #615,positive,2
best day ever #5461,positive,2
great experience #2448,positive,2
worst experience ever #720,negative,0
this made my day #3480,positive,2
standard procedure #2456,neutral,1
this made my day #763,positive,2
link attached for reference #8381,neutral,1
so frustrated right now #1269,negative,0
will follow up later #9890,neutral,1
hate this update #3171,negative,0
the meeting is at 3pm #8863,neutral,1
worst experience ever #6656,negative,0
highly recommend #5851,positive,2
see you tomorrow #1506,neutral,1
worst experience ever #3975,negative,0
this is awful #844,negative,0
this is awful #4379,negative,0
highly recommend #6845,positive,2
great experience #5526,positive,2
best day ever #4333,positive,2
see you tomorrow #9228,neutral,1
ok thanks #8463,neutral,1
link attached for reference #9318,neutral,1
link attached for reference #5333,neutral,1
this made my day #8600,positive,2
this is awful #6337,negative,0
the meeting is at 3pm #7237,neutral,1
see you tomorrow #1813,neutral,1
the meeting is at 3pm #4684,neutral,1
this is awful #655,negative,0
this made my day #5988,positive,2
as expected #9585,neutral,1
waste of time #248,negative,0
link attached for reference #7718,neutral,1
this is awful #6107,negative,0
excellent quality #7582,positive,2
hate this update #8212,negative,0
as expected #4622,neutral,1
ok thanks #7117,neutral,1
noted for the record #4462,neutral,1
this is awful #6534,negative,0
so frustrated right now #7783,negative,0
terrible quality #1171,negative,0
so happy with this #1096,positive,2
so happy with this #2573,positive,2
would not recommend #8605,negative,0
loving this so much #4745,positive,2
highly recommend #7423,positive,2
this made my day #1096,positive,2
so frustrated right now #1034,negative,0
worst experience ever #7649,negative,0
as expected #5978,neutral,1
so frustrated right now #603,negative,0
great experience #7729,positive,2
will follow up later #4144,neutral,1
see you tomorrow #3854,neutral,1
worst experience ever #7486,negative,0
loving this so much #2840,positive,2
link attached for reference #3827,neutral,1
this made my day #9640,positive,2
highly recommend #443,positive,2
best day ever #4448,positive,2
so happy with this #4955,positive,2
as expected #8866,neutral,1
noted for the record #8351,neutral,1
will follow up later #9595,neutral,1
the meeting is at 3pm #1981,neutral,1
so frustrated right now #9033,negative,0
loving this so much #2798,positive,2
so happy with this #9289,positive,2
worst experience ever #7944,negative,0
hate this update #3771,negative,0
waste of time #969,negative,0
so happy with this #1334,positive,2
as expected #3385,neutral,1
so frustrated right now #3464,negative,0
fantastic support team #2378,positive,2
highly recommend #7678,positive,2
the meeting is at 3pm #7467,neutral,1
excellent quality #1072,positive,2
this made my day #1431,positive,2
highly recommend #5246,positive,2
worst experience ever #8502,negative,0
so happy with this #2883,positive,2
the meeting is at 3pm #3390,neutral,1
great experience #336,positive,2
this is awful #434,negative,0
loving this so much #2867,positive,2
this made my day #2597,positive,2
fantastic support team #7957,positive,2
fantastic support team #3797,positive,2
so happy with this #1634,positive,2
as expected #8543,neutral,1
this made my day #2282,positive,2
so frustrated right now #2839,negative,0
loving this so much #9643,positive,2
this is awful #2603,negative,0
noted for the record #6904,neutral,1
fantastic support team #73,positive,2
noted for the record #9492,neutral,1
highly recommend #3223,positive,2
excellent quality #4965,positive,2
totally disappointed with this #8521,negative,0
would not recommend #7648,negative,0
great experience #2925,positive,2
would not recommend #8494,negative,0
the meeting is at 3pm #1309,neutral,1
loving this so much #8902,positive,2
fantastic support team #5207,positive,2
would not recommend #3679,negative,0
so happy with this #9481,positive,2
loving this so much #6081,positive,2
as expected #2159,neutral,1
as expected #503,neutral,1
totally disappointed with this #1951,negative,0
ok thanks #1697,neutral,1
so happy with this #8078,positive,2
as expected #4637,neutral,1
fantastic support team #2786,positive,2
so frustrated right now #998,negative,0
excellent quality #9119,positive,2
the meeting is at 3pm #9955,neutral,1
ok thanks #2703,neutral,1
the meeting is at 3pm #8487,neutral,1
ok thanks #4118,neutral,1
hate this update #665,negative,0
worst experience ever #4814,negative,0
this made my day #7204,positive,2
terrible quality #2176,negative,0
fantastic support team #9796,positive,2
the meeting is at 3pm #8456,neutral,1
so frustrated right now #3210,negative,0
great experience #3843,positive,2
best day ever #4667,positive,2
totally disappointed with this #6008,negative,0
noted for the record #5391,neutral,1
will follow up later #7183,neutral,1
waste of time #1451,negative,0
terrible quality #7346,negative,0
so frustrated right now #7394,negative,0
this is awful #6100,negative,0
link attached for reference #3239,neutral,1
link attached for reference #8505,neutral,1
waste of time #4461,negative,0
loving this so much #3458,positive,2
worst experience ever #1141,negative,0
loving this so much #6918,positive,2
worst experience ever #4684,negative,0
best day ever #9321,positive,2
standard procedure #4251,neutral,1
would not recommend #598,negative,0
the meeting is at 3pm #4728,neutral,1
as expected #3682,neutral,1
the meeting is at 3pm #2458,neutral,1
hate this update #7460,negative,0
so happy with this #4390,positive,2
totally disappointed with this #5907,negative,0
fantastic support team #49,positive,2
waste of time #5083,negative,0
will follow up later #4412,neutral,1
standard procedure #2533,neutral,1
would not recommend #7579,negative,0
would not recommend #6722,negative,0
link attached for reference #4236,neutral,1
highly recommend #2066,positive,2
ok thanks #9295,neutral,1
best day ever #2073,positive,2
worst experience ever #7739,negative,0
will follow up later #824,neutral,1
ok thanks #9385,neutral,1
hate this update #5883,negative,0
noted for the record #6102,neutral,1
this made my day #9736,positive,2
fantastic support team #2101,positive,2
will follow up later #9745,neutral,1
ok thanks #9261,neutral,1
would not recommend #9757,negative,0
loving this so much #7867,positive,2
worst experience ever #1238,negative,0
so happy with this #6403,positive,2
ok thanks #7648,neutral,1
see you tomorrow #4672,neutral,1
ok thanks #5738,neutral,1
great experience #3666,positive,2
best day ever #3049,positive,2
totally disappointed with this #6728,negative,0
so happy with this #8784,positive,2
great experience #7899,positive,2
as expected #6268,neutral,1
this is awful #385,negative,0
excellent quality #4308,positive,2
best day ever #4654,positive,2
excellent quality #1489,positive,2
so happy with this #6166,positive,2
ok thanks #8159,neutral,1
see you tomorrow #9133,neutral,1
noted for the record #5603,neutral,1
totally disappointed with this #1293,negative,0
hate this update #5420,negative,0
would not recommend #9124,negative,0
standard procedure #6918,neutral,1
would not recommend #1762,negative,0
excellent quality #1952,positive,2
see you tomorrow #940,neutral,1
loving this so much #6284,positive,2
standard procedure #2166,neutral,1
terrible quality #6031,negative,0
ok thanks #1158,neutral,1
hate this update #5810,negative,0
great experience #5890,positive,2
so frustrated right now #8745,negative,0
will follow up later #1833,neutral,1
great experience #8542,positive,2
loving this so much #9662,positive,2
great experience #2918,positive,2
will follow up later #244,neutral,1
hate this update #9248,negative,0
would not recommend #5063,negative,0
waste of time #8191,negative,0
excellent quality #8245,positive,2
as expected #4391,neutral,1
as expected #2218,neutral,1
best day ever #7374,positive,2
ok thanks #362,neutral,1
loving this so much #2573,positive,2
excellent quality #849,positive,2
as expected #7692,neutral,1
standard procedure #3576,neutral,1
the meeting is at 3pm #7828,neutral,1
standard procedure #2370,neutral,1
terrible quality #3533,negative,0
so happy with this #6268,positive,2
terrible quality #781,negative,0
hate this update #9597,negative,0
this made my day #6684,positive,2
loving this so much #6789,positive,2
loving this so much #7170,positive,2
totally disappointed with this #9218,negative,0
waste of time #3468,negative,0
so happy with this #5898,positive,2
would not recommend #7523,negative,0
standard procedure #3833,neutral,1
the meeting is at 3pm #3839,neutral,1
see you tomorrow #3208,neutral,1
ok thanks #1658,neutral,1
loving this so much #3123,positive,2
ok thanks #8264,neutral,1
hate this update #9275,negative,0
would not recommend #6616,negative,0
waste of time #1206,negative,0
waste of time #3258,negative,0
excellent quality #8198,positive,2
link attached for reference #6554,neutral,1
worst experience ever #3388,negative,0
as expected #5307,neutral,1
waste of time #8109,negative,0
best day ever #6201,positive,2
link attached for reference #1467,neutral,1
the meeting is at 3pm #3340,neutral,1
worst experience ever #7099,negative,0
best day ever #696,positive,2
waste of time #4607,negative,0
excellent quality #302,positive,2
the meeting is at 3pm #7668,neutral,1
see you tomorrow #1603,neutral,1
would not recommend #3183,negative,0
would not recommend #4667,negative,0
the meeting is at 3pm #4299,neutral,1
link attached for reference #3058,neutral,1
this made my day #3241,positive,2
would not recommend #7968,negative,0
this is awful #2860,negative,0
so frustrated right now #5260,negative,0
would not recommend #4184,negative,0
great experience #6479,positive,2
fantastic support team #387,positive,2
waste of time #5354,negative,0
noted for the record #5575,neutral,1
this made my day #1278,positive,2
fantastic support team #7553,positive,2
worst experience ever #8792,negative,0
terrible quality #9886,negative,0
this is awful #6716,negative,0
noted for the record #321,neutral,1
would not recommend #1575,negative,0
totally disappointed with this #516,negative,0
this is awful #6300,negative,0
worst experience ever #8231,negative,0
highly recommend #8887,positive,2
loving this so much #3927,positive,2
ok thanks #517,neutral,1
this made my day #1107,positive,2
best day ever #6961,positive,2
will follow up later #5913,neutral,1
best day ever #1094,positive,2
waste of time #6560,negative,0
as expected #7565,neutral,1
totally disappointed with this #9654,negative,0
this made my day #7615,positive,2
terrible quality #3039,negative,0
hate this update #6370,negative,0
the meeting is at 3pm #9866,neutral,1
ok thanks #3952,neutral,1
best day ever #6915,positive,2
see you tomorrow #1535,neutral,1
waste of time #2594,negative,0
highly recommend #9227,positive,2
will follow up later #2167,neutral,1
highly recommend #22,positive,2
totally disappointed with this #9303,negative,0
ok thanks #8182,neutral,1
as expected #7066,neutral,1
link attached for reference #7310,neutral,1
would not recommend #4825,negative,0
highly recommend #473,positive,2
so happy with this #9160,positive,2
highly recommend #124,positive,2
will follow up later #3786,neutral,1
highly recommend #1843,positive,2
the meeting is at 3pm #6897,neutral,1
noted for the record #1268,neutral,1
excellent quality #7311,positive,2
best day ever #4609,positive,2
link attached for reference #8924,neutral,1
